FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio,People_Tested,People_Hospitalized,UID,ISO3,Testing_Rate,Hospitalization_Rate
,,Grand Princess,Canada,2020-09-01 04:28:31,,,13,0,13.0,0.0,"Grand Princess, Canada",,0.0,,,,,,
,,Manitoba,Canada,2020-09-01 04:28:31,53.7609,-98.8139,1214,14,731.0,469.0,"Manitoba, Canada",88.12958388172342,1.1532125205930808,,,,,,
,,New Brunswick,Canada,2020-09-01 04:28:31,46.5653,-66.4619,191,2,185.0,4.0,"New Brunswick, Canada",24.48739924589067,1.0471204188481675,,,,,,
,,Newfoundland and Labrador,Canada,2020-09-01 04:28:31,53.1355,-57.6604,269,3,265.0,1.0,"Newfoundland and Labrador, Canada",51.595331485619475,1.1152416356877324,,,,,,
,,Northwest Territories,Canada,2020-09-01 04:28:31,64.8255,-124.8457,5,0,5.0,0.0,"Northwest Territories,Canada",11.134865490824867,0.0,,,,,,
,,Nova Scotia,Canada,2020-09-01 04:28:31,44.681999999999995,-63.7443,1085,65,1013.0,7.0,"Nova Scotia, Canada",111.00232542198788,5.990783410138249,,,,,,
,,Ontario,Canada,2020-09-01 04:28:31,51.2538,-85.3232,44279,2857,40070.0,1352.0,"Ontario, Canada",300.9755348536929,6.452268569750898,,,,,,
,,Prince Edward Island,Canada,2020-09-01 04:28:31,46.5107,-63.4168,44,0,41.0,3.0,"Prince Edward Island, Canada",27.820280984837947,0.0,,,,,,
,,Quebec,Canada,2020-09-01 04:28:31,52.9399,-73.5491,62492,5760,55353.0,1379.0,"Quebec, Canada",731.9557996709642,9.217179799014273,,,,,,
,,Saskatchewan,Canada,2020-09-01 04:28:31,52.9399,-106.4509,1619,24,1561.0,34.0,"Saskatchewan, Canada",137.00995035822305,1.4823965410747375,,,,,,
,,Yukon,Canada,2020-09-01 04:28:31,64.2823,-135.0,15,0,15.0,0.0,"Yukon, Canada",36.515896586980865,0.0,,,,,,
,,,Central African Republic,2020-09-01 04:28:31,6.6111,20.9394,4711,62,1790.0,2859.0,Central African Republic,97.54099786242143,1.3160687752069624,,,,,,
,,,Chad,2020-09-01 04:28:31,15.4542,18.7322,1013,77,880.0,56.0,Chad,6.167105172399203,7.601184600197432,,,,,,
,,Antofagasta,Chile,2020-09-01 04:28:31,-23.6509,-70.3975,18130,444,16903.0,783.0,"Antofagasta, Chile",2984.195123235901,2.4489795918367347,,,,,,
,,Araucania,Chile,2020-09-01 04:28:31,-38.9489,-72.3311,5150,94,4781.0,275.0,"Araucania, Chile",538.0140907457396,1.825242718446602,,,,,,
,,Arica y Parinacota,Chile,2020-09-01 04:28:31,-18.594,-69.4785,6666,107,5985.0,574.0,"Arica y Parinacota, Chile",2948.670311587665,1.6051605160516051,,,,,,
,,Atacama,Chile,2020-09-01 04:28:31,-27.5661,-70.0503,5670,47,5063.0,560.0,"Atacama, Chile",1962.3179578049728,0.8289241622574955,,,,,,
,,Aysen,Chile,2020-09-01 04:28:31,-45.9864,-73.7669,124,1,102.0,21.0,"Aysen, Chile",120.20395897555208,0.8064516129032258,,,,,,
,,Biobio,Chile,2020-09-01 04:28:31,-37.4464,-72.1416,17476,211,14869.0,2396.0,"Biobio, Chile",1122.5554902508663,1.2073701075761043,,,,,,
,,Coquimbo,Chile,2020-09-01 04:28:31,-29.959,-71.3389,9951,136,8787.0,1028.0,"Coquimbo, Chile",1313.5142412874575,1.3666968143905136,,,,,,
,,Los Lagos,Chile,2020-09-01 04:28:31,-41.9198,-72.1416,6608,68,5857.0,683.0,"Los Lagos, Chile",797.3858102009392,1.0290556900726393,,,,,,
,,Los Rios,Chile,2020-09-01 04:28:31,-40.231,-72.3311,1114,15,1027.0,72.0,"Los Rios, Chile",289.47320553896844,1.346499102333932,,,,,,
,,Magallanes,Chile,2020-09-01 04:28:31,-52.368,-70.9863,3530,39,2493.0,998.0,"Magallanes, Chile",2119.699999399518,1.1048158640226629,,,,,,
,,Maule,Chile,2020-09-01 04:28:31,-35.5183,-71.6885,11735,263,10596.0,876.0,"Maule, Chile",1123.0202402028806,2.24115892628888,,,,,,
,,Metropolitana,Chile,2020-09-01 04:28:31,-33.4376,-70.6505,273720,8538,260282.0,4900.0,"Metropolitana, Chile",3848.269206760537,3.1192459447610696,,,,,,
,,Nuble,Chile,2020-09-01 04:28:31,-36.7226,-71.7622,4785,80,4106.0,599.0,"Nuble, Chile",995.6118175065387,1.6718913270637408,,,,,,
,,OHiggins,Chile,2020-09-01 04:28:31,-34.5755,-71.0022,13409,340,12279.0,790.0,"OHiggins, Chile",1466.1775398964526,2.53561041091804,,,,,,
,,Tarapaca,Chile,2020-09-01 04:28:31,-19.9232,-69.5132,10685,204,10036.0,445.0,"Tarapaca, Chile",3232.41307123107,1.9092185306504448,,,,,,
,,Unknown,Chile,2020-09-01 04:28:31,,,56,1,54.0,1.0,"Unknown, Chile",,1.7857142857142858,,,,,,
,,Valparaiso,Chile,2020-09-01 04:28:31,-33.0472,-71.6127,22917,701,20659.0,1557.0,"Valparaiso, Chile",1262.017443672621,3.0588645983331157,,,,,,
,,Anhui,China,2020-09-01 04:28:31,31.8257,117.2264,991,6,985.0,0.0,"Anhui, China",1.5670461733080334,0.6054490413723511,,,,,,
,,Beijing,China,2020-09-01 04:28:31,40.1824,116.4142,935,9,926.0,0.0,"Beijing, China",4.340761374187558,0.962566844919786,,,,,,
,,Chongqing,China,2020-09-01 04:28:31,30.0572,107.874,583,6,577.0,0.0,"Chongqing, China",1.8794326241134751,1.0291595197255574,,,,,,
,,Fujian,China,2020-09-01 04:28:31,26.0789,117.9874,383,1,368.0,14.0,"Fujian, China",0.971834559756407,0.2610966057441253,,,,,,
